node,destination,Lat1,Long1,Lat2,Long2,value
15,17,38.3354,38.3031,38.3397,38.3083,0.6590219201162715
15,18,38.3354,38.3031,38.3413,38.3106,0.9264377367826225
15,19,38.3354,38.3031,38.3441,38.3125,1.2680577923501786
15,20,38.3354,38.3031,38.3468,38.3140,1.5844774687670193
15,21,38.3354,38.3031,38.3513,38.3146,2.032656938816186
15,22,38.3354,38.3031,38.3522,38.3167,2.212794597481718
15,23,38.3354,38.3031,38.3525,38.3160,2.2093244857615013
16,0,38.3381,38.3062,38.2972,38.2961,4.632452599526702
16,1,38.3381,38.3062,38.2986,38.2970,4.464937605496129
16,2,38.3381,38.3062,38.3009,38.2971,4.211950308792887
16,3,38.3381,38.3062,38.3031,38.2959,3.9942117198815543
16,4,38.3381,38.3062,38.3048,38.2944,3.843223654384771
16,5,38.3381,38.3062,38.3087,38.2939,3.4407205139782064
16,6,38.3381,38.3062,38.3141,38.2953,2.833008272186938
16,7,38.3381,38.3062,38.3095,38.2940,3.3535347165752984
16,8,38.3381,38.3062,38.3180,38.2957,2.4154110295599795
16,9,38.3381,38.3062,38.3175,38.3101,2.315743366141251
16,10,38.3381,38.3062,38.3225,38.2948,1.9994474410159988
16,11,38.3381,38.3062,38.3243,38.2939,1.8723594648063357
16,12,38.3381,38.3062,38.3290,38.2945,1.4371248924376518
16,13,38.3381,38.3062,38.3316,38.2973,1.0606547832485047
16,14,38.3381,38.3062,38.3331,38.2994,0.8129421962920611
16,15,38.3381,38.3062,38.3354,38.3031,0.4040308338427404
16,16,38.3381,38.3062,38.3381,38.3062,0.0
16,17,38.3381,38.3062,38.3397,38.3083,0.255339620549775
16,18,38.3381,38.3062,38.3413,38.3106,0.5233293208818949
16,19,38.3381,38.3062,38.3441,38.3125,0.8642965242432264
16,20,38.3381,38.3062,38.3468,38.3140,1.182626014652675
16,21,38.3381,38.3062,38.3513,38.3146,1.6404289740159992
16,22,38.3381,38.3062,38.3522,38.3167,1.8156681410055342
16,23,38.3381,38.3062,38.3525,38.3160,1.8150179656432743
17,0,38.3397,38.3083,38.2972,38.2961,4.844163661756743
17,1,38.3397,38.3083,38.2986,38.2970,4.675233368045603
17,2,38.3397,38.3083,38.3009,38.2971,4.4236248147658195
17,3,38.3397,38.3083,38.3031,38.2959,4.21105164459419
17,4,38.3397,38.3083,38.3048,38.2944,4.06574285136309
17,5,38.3397,38.3083,38.3087,38.2939,3.6688014331097754
17,6,38.3397,38.3083,38.3141,38.2953,3.0641569279662564
17,7,38.3397,38.3083,38.3095,38.2940,3.582302094287053
17,8,38.3397,38.3083,38.3180,38.2957,2.6514568237777407
17,9,38.3397,38.3083,38.3175,38.3101,2.47351914660065
17,10,38.3397,38.3083,38.3225,38.2948,2.245994138374485
17,11,38.3397,38.3083,38.3243,38.2939,2.1236657727643355
17,12,38.3397,38.3083,38.3290,38.2945,1.6924532429941705
17,13,38.3397,38.3083,38.3316,38.2973,1.315948084278651
17,14,38.3397,38.3083,38.3331,38.2994,1.0682509448474669
17,15,38.3397,38.3083,38.3354,38.3031,0.6590219201162715
17,16,38.3397,38.3083,38.3381,38.3062,0.255339620549775
17,17,38.3397,38.3083,38.3397,38.3083,0.0
17,18,38.3397,38.3083,38.3413,38.3106,0.2681239457796144
17,19,38.3397,38.3083,38.3441,38.3125,0.6111832855567161
